Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
75,0,1,1,5,0,0,4,73,26780,49729963.38,7.2,51.9,29.2,13.5,29.9,18.6,9,74,1,23.3,0.4,1.3,28.2,33.8,41.4,42.7,54.5,18.3,14.9,2.7,7.7,7.9,3.1,5.6,82.7,59.2,0.254,0.19,4.94,2.17,1.44,1.34,0.1934,2.3381,2.8474,1.1981,0.4057,0.0397,0.1254,0.3304,0.0025,0.4313,0.0784,0.231
76,0,1,0,2,0,1,1,82,105083,47856882.63,7.320261438,49.8,19,9.7,31.9,26.5,12.8,55.3,16.1,1.8,24,2.8,62,44.1,23.6,18.4,15.2,9.4,7.7,1.5,2.7,4.8,1.7,3,76.7,39.7,0.205,0.089,1.6,0.85,0.32,0.29,0.0308,0.6804,0.2737,0.4238,0.212,0.0476,0.0734,0.0553,0.0155,0.1042,0.0547,0.1028
77,0,9,2,16,0,1,2,198,135469,131322757.4,6.95825534,52.03871587,26.3738693,10.84835793,28.80154943,23.50236955,10.4738538,26.46454244,1.929961098,47.47365449,15.44015384,8.731695812,45.4073921,20.64106844,24.83229374,20.33644081,27.96712237,15.27508434,10.43093475,2.681750068,3.754892263,6.141742391,2.252665185,4.217188434,83.11263979,43.07997402,0.177920513,0.124668064,3.022467576,1.317375636,0.660218869,0.889565436,0.07996144,1.043891549,0.768223004,0.828690048,0.434837592,0.025344628,0.063201675,0.120927287,0.00812108,0.16717412,0.026924435,0.169880676
78,0,0,0,3,0,1,0,15,25818,42789975.42,7.120547945,55.3,19.4,9.6,24.9,29,17.2,16.2,22.8,25.2,30.7,5.2,49,20.9,13.5,12.8,8.4,7.2,10,1.5,3.1,6.3,2.8,4,89,27.2,0.07,0.074,1.37,0.88,0.27,0.15,0.0233,0.341,0.3109,0.4616,0.2643,0.0114,0.0408,0.0346,0.0052,0.0387,0.0213,0.1101
79,0,0,1,0,0,1,1,20,37013,15893305.16,7.645669291,50.5,27.6,9.6,30.4,22,10.5,16.2,49.8,6.9,23.3,3.7,44.6,36.3,19.2,25.4,20.9,7.5,9.9,1.7,3.5,7.1,3.1,4.8,84.2,49.2,0.113,0.086,1.06,0.58,0.29,0.22,0.0276,0.7388,0.235,0.5059,0.2548,0.0053,0.1276,0.0922,0.0117,0.054,0.0108,0.1419
80,2,0,0,2,0,0,0,25,23145,20568333.55,6.178571429,51,18.2,7.4,33.8,27.3,13.5,25.1,47.5,6.9,17.9,2.7,42.2,20.9,10.6,11.8,8.9,7.6,9,1.8,3,4.8,2.2,3.7,90.3,25.4,0.156,0.095,1.05,0.51,0.29,0.14,0,0.4723,0.2376,0.4778,0.2492,0.0298,0.0654,0.0738,0.0043,0.0929,0.0324,0.1051
81,0,0,0,0,0,1,0,68,38081,37888713.92,7.299270073,52.2,23.8,10.8,26.7,25,13.6,12.3,52.1,7.2,24.3,4,40.2,23.3,12.2,13.8,9.4,8.2,9.2,1.8,2.6,5.8,2.4,3.6,90.6,30.7,0.097,0.071,0.84,0.5,0.17,0.16,0.0189,0.334,0.2572,0.5002,0.2846,0.0078,0.1037,0.0644,0.0044,0.0394,0.0131,0.113
82,2,3,0,4,0,10,3,269,111309,62043297.93,6.948871696,52.76547359,22.26430298,10.77768195,29.83100917,24.11120035,13.13229388,59.16027635,18.20146709,16.35841127,4.356101483,1.95077487,37.33364598,26.4156079,24.7284685,23.75163194,29.78227726,13.95726401,11.25721011,2.118666954,4.81020223,6.455170741,2.278914553,3.765814085,84.48196013,43.39855088,0.145294576,0.085184792,1.703783342,0.89802343,0.398655904,0.430371488,0.062463926,1.144330628,1.028384006,0.697817162,0.285524923,0.028478271,0.071610841,0.095123111,0.004821111,0.14462425,0.0359636,0.180482257
83,0,9,0,7,2,0,3,21,47514,14485874.84,5.435483871,54.7,8.9,12.8,43.7,21.2,13.5,11.5,63.6,5,16.1,3.7,24.3,9.6,4.5,12.5,4,5.5,6.4,0.7,1.8,4,1.4,2.8,94.3,8.9,0.568,0.137,2.02,1.38,0.36,0.4,0.0738,2.2084,2.2884,3.371,0.2088,0.0394,0.0532,0.2054,0.0042,0.1821,0.0452,0.1165
84,0,0,0,1,0,0,0,55,26847,39784921.96,6.95766129,55.9,21.5,9.2,24.9,28.6,15.8,4.4,1.2,90.6,1.1,2.7,36,4.6,12.6,5.5,14.5,8.1,10.2,1.5,3.3,6.4,2.4,4.3,89.2,20.2,0.101,0.06,1.83,0.72,0.49,0.43,0.0461,0.4159,0.4147,0.7119,0.4748,0.0223,0.0337,0.0307,0.0037,0.1583,0.0186,0.0874
