GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct
Near North Side,72811,80484,88893,8002,36742,15931,14056,8850,4138,1174,34.89373482,63507,5305,8049,9982,2050,82469,61173,58780,2393,21296,4673,53218,74553,1723,4007,7316,2465,30446,28596,8815,5814,7804,6873,9023,16823,93707.26029,55152,22713,32439,10027,65179,1061,5637,6386,7805,412367.1979,5747.159759,2.311321129,0.049026137,0.167825327,0.012891209,0.16900114,0.069032192,0.04713493,0.40778696,0.000559387,0.042471664,0.034271055,70827,14156,84983,68948,16035,3474,68948,3885,1950,1882,521,529,519,1236,5029,484,1,1,0.825010395,0.847142921
Near South Side,9509,21390,23620,3546,7898,6021,3902,1546,599,108,35.77313054,11063,1247,5537,5098,675,20304,16607,16092,503,3697,1169,14676,19179,642,1340,2503,619,6737,7338,2231,1351,1980,1509,2543,3822,94151.75613,13436,7230,6206,1336,14772,139,1749,3177,2093,379018.6916,10027.92772,15.32005461,0.050418655,0.08467358,0.007510984,0.281168602,0.042586872,0.019058657,0.29401436,0,0.147245406,0.073322884,17426,4972,22398,16616,5782,1246,16616,534,377,1196,683,107,147,535,2127,76,1,0.900966799,0.766150479,0.892037485
Near West Side,46419,54881,62872,11897,26796,12859,6779,2876,1339,326,30.78962636,26122,6245,18151,10780,1574,54543,38516,35286,3194,16027,2048,32692,42429,3492,4584,4590,1476,14801,13486,7225,2724,3447,2990,4680,7096,80727.42475,28162,10145,18017,3080,31242,608,3245,4418,1805,340623.9287,8316.880903,1.483719817,0.040265164,0.096513587,0.013075519,0.107995959,0.155967965,0.082591004,0.431889798,0,0.015294623,0.056406379,48056,11169,59225,44951,14274,3986,44951,3545,751,3114,375,286,754,1276,3792,381,1,0.903229783,0.701477763,0.788495499
New City,51721,44377,39561,12939,9136,7483,6180,2392,1173,258,31.15403956,4858,24525,8838,1031,309,29133,18029,14730,3299,11104,230,14302,23554,6789,10883,3236,871,1250,526,4614,3888,1927,857,561,265,32861.79922,12112,4486,7622,3319,15427,2524,1658,243,59,132092.8753,11108.90407,1.722084006,0.079195407,0.106844033,0.010043016,0.052660833,0.028469063,0.227329555,0.369163926,0,0.026951719,0.099342446,24331,11936,36267,15401,20867,10389,15401,19667,225,614,144,33,6,105,61,12,0.958907971,0.433395712,0.112548489,0.731489302
North Center,31895,31867,35789,8845,9902,9709,4375,1616,887,455,34.11271857,27568,4192,668,1791,1570,27636,22288,21477,795,5348,1915,19373,25474,1578,2147,2919,793,10691,7346,1350,1690,1941,1984,2727,4796,104351.2165,14488,7724,6764,1739,16227,199,1118,2240,3818,518979.0576,11369.62313,1.351163559,0.182227015,0.231590072,0.035752071,0.056080916,0.058203609,0.066423389,0.333750132,0,0.029525635,0.006447162,28615,3906,32521,27478,5043,1423,27478,2684,356,104,308,93,73,205,1113,107,1,1,0.739185052,0.899149504
North Lawndale,41768,35912,35947,11662,8985,5932,5839,1981,1039,509,29.39704311,966,3140,31270,77,494,26444,13817,11064,2753,12627,459,10376,20442,5093,6187,5524,1208,1708,722,5468,2914,1423,766,536,188,26361.91199,11295,2913,8382,3426,14721,1532,1190,140,51,139741.8478,8638.589659,2.113930777,0.054800265,0.172095963,0.010096686,0.035104055,0.061707924,0.110911088,0.327066063,0,0.08345101,0.144766948,32020,1169,33189,30446,2743,965,30446,2363,46,0,0,41,54,20,105,114,1,1,0.177966931,0.617893621
North Park,18514,17931,18842,4601,3953,3558,2857,1865,1383,625,38.49878935,9789,3154,541,4703,655,15110,9199,8552,647,5911,343,7939,12931,1634,2450,2127,684,3967,2069,1521,1428,989,828,833,915,56086.95652,6514,3193,3321,521,7035,314,1243,1295,301,302124.183,12545.36996,5.78007768,0.15545137,0.153594549,0.003231569,0.049120864,0.242300205,0.043586948,0.195969323,0,0.151565937,0.005179236,10001,7503,17504,7471,10033,4476,7471,2167,924,318,694,1163,567,733,2868,599,0.893110637,0.799456374,0.519681386,0.80160108
Norwood Park,37543,37023,37089,7717,6045,8108,8079,3401,2161,1578,44.01426607,30218,4377,165,1231,1098,30546,19646,18734,912,10900,700,17752,27657,2098,7119,5622,2436,6933,3449,2489,2338,2679,1893,2795,2615,74069.37653,14809,11494,3314,1009,15817,1105,4210,5187,929,310471.2042,14196.29054,1.324893197,0.47174237,0.047752375,0.00469467,0.035020787,0.070588994,0.005499828,0.319857117,0,0.039974849,0.00486901,27374,7392,34766,24359,10407,3806,24359,2600,4537,147,593,564,25,148,1615,178,1,1,0.463845768,0.816713828
Oakland,6110,5918,6645,2215,1225,1554,995,445,153,58,33.78112033,172,324,5959,140,50,4917,3240,2509,731,1677,146,2271,3874,602,919,998,259,598,498,1336,699,396,174,180,149,28291.45729,2934,486,2448,273,3207,71,208,144,63,263265.3061,8067.038853,8.019721121,0.06902639,0.152697289,0.000383314,0.006141936,0.170415137,0,0.314901635,0,0.179323209,0.10711109,5601,605,6206,5401,805,107,5401,296,8,0,12,0,0,28,73,388,1,1,0.349767682,0.793322734
OHare,11665,12756,12377,2085,3300,2945,2174,884,725,263,38.07810107,9886,800,151,981,559,10543,6915,6387,528,3628,137,6066,9850,1087,2276,2053,867,2372,1195,1764,1326,1477,791,462,306,49294.87179,6125,2464,3666,540,6670,1070,744,575,71,162194.1896,21009.8559,0.139860693,0.011402877,0.015701133,0,0.016379907,0.006558517,0.003827708,0.759348429,0,0.170394122,0.016387306,5352,6360,11712,4316,7397,3226,4316,522,3946,30,218,1148,0,543,862,127,1,0.086169676,0.450156385,0.778427189
